dt,AverageTemperature
1823-01-01,24.006
1823-02-01,22.761
1823-03-01,25.23500000000001
1823-04-01,25.58
1823-05-01,27.315
1823-06-01,28.157
1823-07-01,28.526
1823-08-01,27.964000000000002
1823-09-01,27.131999999999998
1823-10-01,25.782
1823-11-01,25.06600000000001
1823-12-01,24.250999999999998
1824-01-01,25.063
1824-02-01,23.836
1824-03-01,26.252
1824-04-01,26.19400000000001
1824-05-01,27.779
1824-06-01,28.743
1824-07-01,29.637
1824-08-01,28.47900000000001
1824-09-01,27.988000000000003
1824-10-01,26.789
1824-11-01,26.437
1824-12-01,26.180999999999997
1825-01-01,24.68
1825-02-01,24.759
1825-03-01,25.53700000000001
1825-04-01,26.775
1825-05-01,27.575
1825-06-01,28.569000000000006
1825-07-01,28.441
1825-08-01,28.083000000000002
1825-09-01,27.373
1825-10-01,26.851
1825-11-01,27.145
1825-12-01,24.395
1826-01-01,23.41
1826-02-01,25.034
1826-03-01,26.651
1826-04-01,27.509
1826-05-01,27.997
1826-06-01,27.906
1826-07-01,29.168000000000006
1826-08-01,28.095
1826-09-01,27.883000000000006
1826-10-01,26.601
1826-11-01,26.348000000000006
1826-12-01,25.845
1827-01-01,24.598000000000006
1827-02-01,26.575
1827-03-01,26.741
1827-04-01,27.896
1827-05-01,28.234
1827-06-01,28.689
1827-07-01,29.618
1827-08-01,29.10700000000001
1827-09-01,27.76
1827-10-01,26.708000000000002
1827-11-01,27.237
1827-12-01,26.105
1828-01-01,25.750999999999998
1828-02-01,25.967
1828-03-01,25.228
1828-04-01,26.206
1828-05-01,27.476
1828-06-01,28.839
1828-07-01,29.16
1828-08-01,28.738000000000003
1828-09-01,27.06
1828-10-01,26.76
1828-11-01,26.617
1828-12-01,26.88
1829-01-01,24.101
1829-02-01,24.061
1829-03-01,23.742
1829-04-01,25.927
1829-05-01,27.283
1829-06-01,27.965
1829-07-01,28.888
1829-08-01,28.719
1829-09-01,27.687
1829-10-01,26.966
1829-11-01,24.672
1829-12-01,25.372
1830-01-01,24.93
1830-02-01,25.578000000000007
1830-03-01,25.017000000000003
1830-04-01,26.228
1830-05-01,26.98
1830-06-01,28.389
1830-07-01,29.479
1830-08-01,28.666
1830-09-01,27.314
1830-10-01,26.381
1830-11-01,28.111
1830-12-01,27.034
1831-01-01,23.629
1831-02-01,23.785
1831-03-01,25.116
1831-04-01,25.933000000000003
1831-05-01,26.476
1831-06-01,27.842
1831-07-01,28.415
1831-08-01,27.983
1831-09-01,27.419
1831-10-01,26.645
1831-11-01,25.733
1831-12-01,24.156
1832-01-01,24.224
1832-02-01,25.802
1832-03-01,24.778000000000002
1832-04-01,25.69400000000001
1832-05-01,27.397
1832-06-01,28.058000000000003
1832-07-01,28.259
1832-08-01,27.208000000000002
1832-09-01,27.101
1832-10-01,26.711
1832-11-01,25.197
1832-12-01,23.891
1833-01-01,24.717
1833-02-01,25.230999999999998
1833-03-01,24.68
1833-04-01,25.455
1833-05-01,26.786
1833-06-01,28.361
1833-07-01,28.488000000000003
1833-08-01,28.45300000000001
1833-09-01,28.189
1833-10-01,26.172
1833-11-01,26.987
1833-12-01,24.783
1834-01-01,23.027
1834-02-01,25.262
1834-03-01,25.901
1834-04-01,25.824
1834-05-01,27.648000000000003
1834-06-01,28.755
1834-07-01,28.932
1834-08-01,28.63900000000001
1834-09-01,28.373
1834-10-01,27.406
1834-11-01,26.789
1834-12-01,25.69
1835-01-01,25.043000000000006
1835-02-01,23.485
1835-03-01,24.081000000000003
1835-04-01,25.869
1835-05-01,27.15
1835-06-01,27.212
1835-07-01,26.959
1835-08-01,27.32800000000001
1835-09-01,26.312
1835-10-01,25.712
1835-11-01,26.634
1835-12-01,23.885
1836-01-01,24.762
1836-02-01,23.948
1836-03-01,25.174
1836-04-01,26.283
1836-05-01,26.608
1836-06-01,27.962
1836-07-01,28.712
1836-08-01,28.613000000000003
1836-09-01,28.215
1836-10-01,26.177
1836-11-01,23.567
1836-12-01,23.914
1837-01-01,23.575
1837-02-01,24.168000000000006
1837-03-01,24.466
1837-04-01,24.469
1837-05-01,26.565
1837-06-01,27.728
1837-07-01,29.199
1837-08-01,28.695
1837-09-01,27.779
1837-10-01,26.726
1837-11-01,25.443
1837-12-01,25.301
1838-01-01,23.555
1838-02-01,23.447
1838-03-01,23.82
1838-04-01,25.416
1838-05-01,25.453000000000007
1838-06-01,27.257
1838-07-01,27.975
1838-08-01,27.865
1838-09-01,27.329
1838-10-01,26.71
1838-11-01,26.065
1838-12-01,25.019
1839-01-01,24.264
1839-02-01,24.573
1839-03-01,23.421
1839-04-01,25.925
1839-05-01,26.992
1839-06-01,28.606
1839-07-01,28.827
1839-08-01,29.193
1839-09-01,28.126
1839-10-01,26.919
1839-11-01,25.469
1839-12-01,22.115
1840-01-01,25.235
1840-02-01,24.586
1840-03-01,25.115
1840-04-01,26.676
1840-05-01,27.056
1840-06-01,27.757
1840-07-01,28.566
1840-08-01,27.70300000000001
1840-09-01,27.686
1840-10-01,26.338
1840-11-01,24.325
1840-12-01,23.838
1841-01-01,24.511
1841-02-01,24.043000000000006
1841-03-01,24.41200000000001
1841-04-01,25.286
1841-05-01,26.227
1841-06-01,27.049
1841-07-01,28.749
1841-08-01,28.16
1841-09-01,27.608
1841-10-01,26.082
1841-11-01,24.947
1841-12-01,24.682
1842-01-01,24.623
1842-02-01,24.647
1842-03-01,26.75500000000001
1842-04-01,26.324
1842-05-01,26.897
1842-06-01,27.399
1842-07-01,27.46
1842-08-01,27.928
1842-09-01,27.714
1842-10-01,25.855
1842-11-01,25.50500000000001
1842-12-01,25.596999999999998
1843-01-01,25.124
1843-02-01,25.033
1843-03-01,24.149
1843-04-01,26.35100000000001
1843-05-01,26.115
1843-06-01,26.819000000000006
1843-07-01,27.594
1843-08-01,27.477
1843-09-01,27.362
1843-10-01,26.028
1843-11-01,26.662
1843-12-01,25.605999999999998
1844-01-01,24.634
1844-02-01,23.789
1844-03-01,24.097
1844-04-01,24.946
1844-05-01,27.013
1844-06-01,26.837
1844-07-01,28.138
1844-08-01,27.708000000000002
1844-09-01,27.119
1844-10-01,26.528
1844-11-01,26.166
1844-12-01,22.651999999999997
1845-01-01,24.572
1845-02-01,23.114
1845-03-01,24.78
1845-04-01,26.368000000000002
1845-05-01,26.297
1845-06-01,27.516
1845-07-01,27.981
1845-08-01,27.803
1845-09-01,27.207
1845-10-01,25.716
1845-11-01,24.58
1845-12-01,22.561999999999998
1846-01-01,24.64
1846-02-01,24.624
1846-03-01,25.876
1846-04-01,25.089000000000002
1846-05-01,26.817
1846-06-01,28.349
1846-07-01,28.532
1846-08-01,28.462
1846-09-01,27.918000000000006
1846-10-01,26.435
1846-11-01,25.613000000000003
1846-12-01,25.727
1847-01-01,25.806
1847-02-01,24.675
1847-03-01,24.22300000000001
1847-04-01,26.114
1847-05-01,26.069000000000006
1847-06-01,28.177
1847-07-01,28.204
1847-08-01,28.606
1847-09-01,27.806
1847-10-01,27.083000000000002
1847-11-01,26.438000000000002
1847-12-01,22.621
1848-01-01,23.633000000000006
1848-02-01,24.967
1848-03-01,25.167
1848-04-01,25.76100000000001
1848-05-01,26.394000000000002
1848-06-01,27.173000000000002
1848-07-01,29.042
1848-08-01,28.091
1848-09-01,27.821
1848-10-01,26.946
1848-11-01,24.867
1848-12-01,27.103
1849-01-01,25.746
1849-02-01,24.311
1849-03-01,26.653000000000002
1849-04-01,25.257
1849-05-01,27.194000000000006
1849-06-01,27.575
1849-07-01,28.659
1849-08-01,29.021
1849-09-01,27.943
1849-10-01,27.803
1849-11-01,26.855
1849-12-01,26.715
1850-01-01,26.455
1850-02-01,25.528
1850-03-01,26.427
1850-04-01,26.393
1850-05-01,26.547
1850-06-01,27.479
1850-07-01,28.728
1850-08-01,28.741
1850-09-01,28.381
1850-10-01,25.901
1850-11-01,25.659000000000002
1850-12-01,24.899
1851-01-01,25.203000000000007
1851-02-01,25.153
1851-03-01,24.777
1851-04-01,25.901
1851-05-01,26.907
1851-06-01,27.598000000000006
1851-07-01,28.289
1851-08-01,28.314
1851-09-01,27.087
1851-10-01,27.04
1851-11-01,25.917
1851-12-01,24.381
1852-01-01,21.166999999999998
1852-02-01,24.045
1852-03-01,25.058000000000003
1852-04-01,25.804000000000002
1852-05-01,27.32
1852-06-01,27.841
1852-07-01,28.132
1852-08-01,28.315
1852-09-01,27.908
1852-10-01,26.361
1852-11-01,26.092
1852-12-01,26.021
1853-01-01,22.955
1853-02-01,23.404
1853-03-01,25.251
1853-04-01,25.829
1853-05-01,27.024
1853-06-01,27.431
1853-07-01,28.586
1853-08-01,28.209
1853-09-01,27.846
1853-10-01,27.438
1853-11-01,26.063000000000002
1853-12-01,23.795
1854-01-01,24.511
1854-02-01,24.07
1854-03-01,26.087
1854-04-01,24.791
1854-05-01,27.336
1854-06-01,27.904
1854-07-01,28.06
1854-08-01,27.775
1854-09-01,27.608
1854-10-01,26.651
1854-11-01,24.824
1854-12-01,23.842
1855-01-01,23.404
1855-02-01,22.693
1855-03-01,24.227
1855-04-01,25.556
1855-05-01,27.105
1855-06-01,28.026
1855-07-01,27.591
1855-08-01,28.54300000000001
1855-09-01,28.071
1855-10-01,26.413
1855-11-01,26.883000000000006
1855-12-01,25.629
1856-01-01,23.666
1856-02-01,23.935
1856-03-01,25.846
1856-04-01,25.522
1856-05-01,27.591
1856-06-01,28.46
1856-07-01,28.288
1856-08-01,28.552
1856-09-01,27.759
1856-10-01,26.647
1856-11-01,26.854
1856-12-01,25.561
1857-01-01,23.223000000000006
1857-02-01,24.063
1857-03-01,24.294
1857-04-01,24.667
1857-05-01,26.223000000000006
1857-06-01,27.716
1857-07-01,27.779
1857-08-01,27.72
1857-09-01,27.235
1857-10-01,26.431
1857-11-01,25.818
1857-12-01,25.014
1858-01-01,25.144
1858-02-01,23.862
1858-03-01,23.53700000000001
1858-04-01,25.17
1858-05-01,26.938
1858-06-01,27.402
1858-07-01,28.143
1858-08-01,28.214000000000002
1858-09-01,27.792
1858-10-01,26.669
1858-11-01,24.86
1858-12-01,25.488000000000003
1859-01-01,23.867
1859-02-01,24.624
1859-03-01,25.964000000000002
1859-04-01,26.379
1859-05-01,27.084
1859-06-01,27.642
1859-07-01,28.338
1859-08-01,28.294
1859-09-01,28.075
1859-10-01,27.04
1859-11-01,25.163
1859-12-01,24.333
1860-01-01,23.92
1860-02-01,23.899
1860-03-01,23.752
1860-04-01,26.186
1860-05-01,26.059
1860-06-01,28.395
1860-07-01,28.7
1860-08-01,28.548000000000002
1860-09-01,28.11
1860-10-01,26.316
1860-11-01,25.785
1860-12-01,24.444000000000006
1861-01-01,24.588
1861-02-01,24.478
1861-03-01,24.778000000000002
1861-04-01,25.82
1861-05-01,27.379
1861-06-01,28.249
1861-07-01,28.803
1861-08-01,28.35700000000001
1861-09-01,28.28
1861-10-01,27.467
1861-11-01,26.375
1861-12-01,25.317
1862-01-01,25.003
1862-02-01,25.528
1862-03-01,25.196
1862-04-01,26.549
1862-05-01,27.163
1862-06-01,27.844
1862-07-01,28.733
1862-08-01,28.956
1862-09-01,28.497
1862-10-01,26.952
1862-11-01,25.295
1862-12-01,23.809
1863-01-01,23.68
1863-02-01,26.105
1863-03-01,25.571
1863-04-01,25.547
1863-05-01,27.376
1863-06-01,28.668000000000006
1863-07-01,28.706
1863-08-01,28.009
1863-09-01,27.328000000000007
1863-10-01,26.905
1863-11-01,25.678
1863-12-01,23.756999999999998
1864-01-01,24.64
1864-02-01,23.971999999999998
1864-03-01,23.673000000000002
1864-04-01,24.436
1864-05-01,25.325
1864-06-01,27.566
1864-07-01,28.086
1864-08-01,27.624000000000002
1864-09-01,28.403
1864-10-01,26.53
1864-11-01,25.704
1864-12-01,25.355999999999998
1865-01-01,23.764
1865-02-01,23.828000000000007
1865-03-01,24.946
1865-04-01,26.159000000000002
1865-05-01,27.227
1865-06-01,28.324
1865-07-01,28.883000000000006
1865-08-01,29.23200000000001
1865-09-01,27.562
1865-10-01,26.903
1865-11-01,25.452
1865-12-01,26.057
1866-01-01,24.195
1866-02-01,24.045
1866-03-01,24.538
1866-04-01,25.424
1866-05-01,27.381
1866-06-01,28.118
1866-07-01,28.319000000000006
1866-08-01,28.655
1866-09-01,28.315
1866-10-01,26.353
1866-11-01,24.913
1866-12-01,24.525
1867-01-01,24.136
1867-02-01,25.099
1867-03-01,25.794
1867-04-01,26.16200000000001
1867-05-01,27.52
1867-06-01,28.113000000000003
1867-07-01,28.714
1867-08-01,28.213
1867-09-01,28.12
1867-10-01,26.478
1867-11-01,25.06
1867-12-01,25.205
1868-01-01,24.818
1868-02-01,23.582
1868-03-01,25.129
1868-04-01,26.105
1868-05-01,27.086
1868-06-01,27.635
1868-07-01,28.506
1868-08-01,28.641
1868-09-01,28.628
1868-10-01,27.231
1868-11-01,25.351
1868-12-01,24.268
1869-01-01,25.941
1869-02-01,26.17
1869-03-01,26.286
1869-04-01,27.32200000000001
1869-05-01,27.776
1869-06-01,29.312
1869-07-01,29.526
1869-08-01,29.146
1869-09-01,28.708
1869-10-01,26.816
1869-11-01,25.64
1869-12-01,23.808000000000003
1870-01-01,25.153
1870-02-01,23.889
1870-03-01,24.996
1870-04-01,25.222
1870-05-01,27.1
1870-06-01,28.934
1870-07-01,29.2
1870-08-01,28.949
1870-09-01,28.882
1870-10-01,26.934
1870-11-01,25.188000000000002
1870-12-01,23.506999999999998
1871-01-01,23.405
1871-02-01,24.468000000000004
1871-03-01,25.454
1871-04-01,26.182
1871-05-01,26.759
1871-06-01,28.077
1871-07-01,28.166
1871-08-01,28.396
1871-09-01,27.855999999999998
1871-10-01,26.782
1871-11-01,26.011
1871-12-01,24.398000000000003
1872-01-01,23.468000000000004
1872-02-01,24.31
1872-03-01,25.248
1872-04-01,26.791
1872-05-01,27.231
1872-06-01,28.3
1872-07-01,28.516
1872-08-01,28.509
1872-09-01,28.548
1872-10-01,27.093000000000004
1872-11-01,25.823
1872-12-01,23.897
1873-01-01,23.535999999999998
1873-02-01,25.035
1873-03-01,24.166
1873-04-01,25.465
1873-05-01,27.346
1873-06-01,27.972
1873-07-01,28.377
1873-08-01,28.10400000000001
1873-09-01,27.484
1873-10-01,25.666
1873-11-01,25.16
1873-12-01,25.164
1874-01-01,24.055
1874-02-01,25.55
1874-03-01,26.146
1874-04-01,26.201
1874-05-01,26.722
1874-06-01,27.612
1874-07-01,27.939
1874-08-01,28.523000000000003
1874-09-01,27.868
1874-10-01,26.672
1874-11-01,26.083000000000002
1874-12-01,25.099
1875-01-01,25.119
1875-02-01,24.868
1875-03-01,25.646
1875-04-01,25.268
1875-05-01,27.178
1875-06-01,27.877
1875-07-01,28.403
1875-08-01,28.183000000000003
1875-09-01,28.054
1875-10-01,27.252
1875-11-01,26.652
1875-12-01,25.521
1876-01-01,25.432
1876-02-01,25.954
1876-03-01,24.94100000000001
1876-04-01,26.105
1876-05-01,27.034
1876-06-01,28.223000000000006
1876-07-01,28.284
1876-08-01,28.344
1876-09-01,28.377
1876-10-01,26.544
1876-11-01,25.491
1876-12-01,23.776999999999997
1877-01-01,24.545
1877-02-01,23.99
1877-03-01,24.557
1877-04-01,25.85
1877-05-01,26.487
1877-06-01,27.831
1877-07-01,28.901
1877-08-01,29.196
1877-09-01,28.931
1877-10-01,28.119
1877-11-01,26.616
1877-12-01,25.585
1878-01-01,24.069000000000006
1878-02-01,25.079
1878-03-01,26.294
1878-04-01,27.48
1878-05-01,28.139
1878-06-01,29.267
1878-07-01,29.175
1878-08-01,28.795
1878-09-01,28.607
1878-10-01,27.41
1878-11-01,26.383000000000006
1878-12-01,24.762
1879-01-01,24.346
1879-02-01,24.096
1879-03-01,24.844
1879-04-01,25.798000000000002
1879-05-01,26.777
1879-06-01,27.331
1879-07-01,28.584
1879-08-01,28.613000000000003
1879-09-01,28.019
1879-10-01,27.045
1879-11-01,26.268
1879-12-01,25.435
1880-01-01,25.574
1880-02-01,25.16
1880-03-01,25.659000000000002
1880-04-01,25.804000000000002
1880-05-01,26.48
1880-06-01,27.918000000000006
1880-07-01,28.621
1880-08-01,28.436
1880-09-01,28.204
1880-10-01,27.356
1880-11-01,27.109
1880-12-01,24.660999999999998
1881-01-01,24.94
1881-02-01,24.355999999999998
1881-03-01,24.396
1881-04-01,25.189
1881-05-01,27.229
1881-06-01,28.64
1881-07-01,29.004
1881-08-01,28.618000000000002
1881-09-01,28.076999999999998
1881-10-01,27.031
1881-11-01,26.572
1881-12-01,25.179
1882-01-01,24.733
1882-02-01,24.711
1882-03-01,25.167
1882-04-01,26.217
1882-05-01,27.158
1882-06-01,28.624
1882-07-01,28.522
1882-08-01,28.644000000000002
1882-09-01,28.361
1882-10-01,27.284
1882-11-01,25.486
1882-12-01,24.728
1883-01-01,25.070999999999998
1883-02-01,25.576
1883-03-01,24.631
1883-04-01,26.837
1883-05-01,27.207
1883-06-01,28.488000000000003
1883-07-01,28.513
1883-08-01,28.599
1883-09-01,28.242
1883-10-01,27.522
1883-11-01,26.291
1883-12-01,24.725
1884-01-01,23.461
1884-02-01,24.377
1884-03-01,25.113000000000003
1884-04-01,25.907
1884-05-01,26.901
1884-06-01,27.41
1884-07-01,28.556
1884-08-01,28.19100000000001
1884-09-01,27.784
1884-10-01,26.606
1884-11-01,26.173000000000002
1884-12-01,25.5
1885-01-01,24.701999999999998
1885-02-01,23.539
1885-03-01,24.379
1885-04-01,25.56600000000001
1885-05-01,27.1
1885-06-01,27.948
1885-07-01,28.699
1885-08-01,28.55
1885-09-01,28.08
1885-10-01,26.672
1885-11-01,25.628
1885-12-01,23.480999999999998
